cohort,feature_set,model,repeat_index,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,4,0.40711462450592883,0.2973604421184062,0.26934285766188176,0.40118577075098816
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,4,0.6195652173913044,0.4524162372274384,0.23545463049170823,0.5968379446640316
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,4,0.6353754940711462,0.5107282493002354,0.2218208703198576,0.6086956521739131
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,5,0.5064229249011858,0.32937260763519505,0.2595876651661034,0.5108695652173914
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,5,0.6383399209486167,0.5043152152603146,0.2252474524308949,0.6195652173913043
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,5,0.6462450592885375,0.5594485866014018,0.221338798227819,0.5642292490118577
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,6,0.5163043478260869,0.33753340088472694,0.25519328059622737,0.5009881422924901
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,6,0.6966403162055337,0.536289544940167,0.22286853013011063,0.7094861660079052
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,6,0.7509881422924901,0.6288785796647214,0.20660035211463532,0.6867588932806324
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,7,0.4268774703557312,0.29947476903258446,0.2606696974267884,0.4644268774703557
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,7,0.7193675889328064,0.5762014793719746,0.22115731694932173,0.7203557312252964
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,7,0.717391304347826,0.5693359017957543,0.21766767561795747,0.6650197628458498
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,8,0.4925889328063241,0.3182122373081459,0.25442961062064945,0.48814229249011853
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,8,0.674901185770751,0.5578570075460201,0.2189609200585545,0.6976284584980237
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,8,0.6788537549407115,0.5561115859938116,0.2159298212386791,0.6650197628458498
locked7_complete4_overlap_n68,clinical,elasticnet_logistic,9,0.38636363636363635,0.2702160394268901,0.28177975662726257,0.4120553359683794
locked7_complete4_overlap_n68,v7_label_selected_locked7,elasticnet_logistic,9,0.6452569169960474,0.5232724654843223,0.2207216410563947,0.5968379446640316
locked7_complete4_overlap_n68,combined_locked7_clinical,elasticnet_logistic,9,0.6274703557312253,0.49132507599706143,0.22502250502622964,0.541501976284585
